author;tweet_id
23337157;152860974821548033
292969669;149506870669869059
74395797;149504587617939457
125716373;148327073461710848
219460902;140886492225613824
238902661;139454062667116544
238902661;137439928379375618
325234004;136944335567597568
289388935;136939181917216769
325234004;136740478526824449
325234004;136739581486829568
90995757;136738847651397632
325234004;136735580640915456
238902661;135969879667916800
23337157;135869052135538688
371175634;135661543361744896
185253802;134979619261657088
209174783;134952098264657920
405767214;134717946240049152
372495691;134620893342216192
358280685;134316261759926273
209174783;134314834677350402
293960374;134227180292026369
238902661;133986086526525440
223839625;133688066689871873
23337157;133668798313140224
279968555;133668742348546048
238902661;132497346796847105
23132206;132219192077324289
252744286;131673220284809216
358280685;131670519517949952
160508718;131670206715138048
160508718;131669568337883136
43701409;131669063524040704
22471132;131050667015016449
215348253;130961347168059392
168968609;130960909773447168
371299590;130959768218120192
140550105;125444609257111553
32642969;125330049053360128
117506221;124845441195061250
328402420;124834612366163968
144779691;124736529682804737
288141943;124591031512612864
47895756;124523380291538944
382276846;122013948135489536
140129131;117206107046420480
18979745;117204392486256640
64688134;117158113727090688
180294329;116113079946838016
358280685;112128511254339584
303899798;110733574692536320
186776191;110248842666053632
303899798;110099898820599809
286232659;108919421518626816
258108975;108880861457424384
275936873;100905698405253120
126345639;94095222543360000
143026537;93676539366998016
193208669;93636176627507200
76626073;93598150937411586
263125356;93286556063895552
122353251;93286209173979137
114414137;93218242830671872
126345639;92922041933627392
299149410;92921903957803010
140550105;92916078342180864
297972314;92911961628606464
285512701;92686988322410496
193214868;90433606811525121
231549514;90347408306864128
112508872;90325748115705856
257182010;89657835784388608
126345639;85249431452139520
289388935;84242406848995328
299149410;84204622964727809
126345639;84203935660900353
191084621;80739799778082816
18979745;80737254749913088
14588659;80730922563010560
18238467;80730090207588352
94383557;80591315372486656
14913379;74907033249394688
70144895;74888579716878336
17515802;74887207302856704
230512159;285400352243732481
230512159;285400333486804992
139707636;285343431323160576
1010718164;285332788088041472
492200279;284368568223662081
59753043;284208292564189185
59753043;284198930080747520
882049423;283678018914885633
587692293;283588787739709440
364970438;283553467275034624
531048734;283532811841982464
843802830;283503362434007040
492200279;282773325485334528
611691091;282757614973104128
15264641;282619330552807424
443130548;282614063983362049
15264641;282612301763317760
882049423;282595389687869441
84939709;282575065378340864
585941934;282508037028208640
585941934;282505248227086337
587692293;282491445150105600
465564533;282448143176581120
492200279;282411192620826624
611142571;282285942629343232
85186877;282280769903271936
843802830;282271263685230592
531048734;282263197753425921
587692293;282239027015471104
113360943;282222943432474624
109681176;282162765748133888
59753043;282137194104238081
364970438;282125088260775938
953242639;282112003340918787
899522988;282111468827205632
113360943;282106448169799680
882049423;282069930046795776
531048734;282052046792826880
843802830;282029145632935936
80417398;281852005469786112
140550105;281850476822138880
117506221;281821349482225664
617150520;281819183988215808
364970438;281792643724353537
